Champion,First Skill Maxed,Second Skill Maxed,Third Skill Maxed,Skill Priority,LVL 1 Skill,Class,Subclass,Release Date,Release Date (VGU)
Aatrox,Q,E,W,QEW,Q,Fighter,Juggernaut,2013,2018
Ahri,Q,W,E,QWE,Q,Mage,Burst,2011,2011
Akali,Q,W,E,QWE,Q,Slayer,Assassin,2010,2010
Alistar,Q,W,E,QWE,Q,Tank,Vanguard,2009,2009
Amumu,E,Q,W,EQW,W,Tank,Vanguard,2009,2009
Anivia,E,Q,W,EQW,Q,Mage,Battlemage,2009,2009
Annie,Q,W,E,QWE,Q,Mage,Burst,2009,2009
Ashe,W,Q,E,WQE,W,Marksman,Marksman,2009,2009
AurelionSol,W,Q,E,WQE,W,Mage,Battlemage,2016,2016
Azir,Q,W,E,QWE,W,Specialist,Specialist,2014,2014
Bard,Q,W,E,QWE,Q,Controller,Catcher,2015,2015
Blitzcrank,Q,E,W,QEW,Q,Controller,Catcher,2009,2009
Brand,W,Q,E,WQE,W,Mage,Burst,2011,2011
Braum,Q,E,W,QEW,Q,Tank,Warden,2014,2014
Caitlyn,Q,W,E,QWE,Q,Marksman,Marksman,2011,2011
Camille,Q,E,W,QEW,Q,Fighter,Diver,2016,2016
Cassiopeia,E,Q,W,EQW,E,Mage,Battlemage,2010,2010
Chogath,Q,W,E,QWE,Q,Specialist,Specialist,2009,2009
Corki,Q,E,W,QEW,Q,Marksman,Marksman,2009,2009
Darius,Q,E,W,QEW,Q,Fighter,Juggernaut,2012,2012
Diana,Q,W,E,QWE,Q,Slayer,Assassin,2012,2012
Dr. Mundo,Q,E,W,QEW,Q,Fighter,Juggernaut,2009,2009
Draven,Q,W,E,QWE,Q,Marksman,Marksman,2012,2012
Ekko,Q,E,W,QEW,Q,Slayer,Assassin,2015,2015
Elise,Q,W,E,QWE,W,Fighter,Diver,2012,2012
Evelynn,Q,E,W,QEW,Q,Slayer,Assassin,2009,2017
Ezreal,Q,E,W,QEW,Q,Marksman,Marksman,2010,2010
Fiddlesticks,E,Q,W,EQW,E,Specialist,Specialist,2009,2009
Fiora,Q,E,W,QEW,Q,Slayer,Skirmisher,2012,2012
Fizz,E,W,Q,EWQ,E,Slayer,Assassin,2011,2011
Galio,Q,E,W,QEW,Q,Tank,Warden,2010,2017
Gangplank,Q,E,W,QEW,Q,Specialist,Specialist,2009,2015
Garen,Q,E,W,QEW,Q,Fighter,Juggernaut,2010,2010
Gnar,Q,W,E,QWE,Q,Specialist,Specialist,2014,2014
Gragas,Q,E,W,QEW,W,Tank,Vanguard,2010,2010
Graves,Q,E,W,QEW,E,Specialist,Specialist,2011,2011
Hecarim,Q,E,W,QEW,Q,Fighter,Diver,2012,2012
Heimerdinger,W,Q,E,WQE,Q,Specialist,Specialist,2009,2009
Illaoi,E,Q,W,EQW,Q,Fighter,Juggernaut,2015,2015
Irelia,Q,E,W,QEW,Q,Fighter,Diver,2010,2018
Ivern,E,Q,W,EQW,Q,Controller,Catcher,2016,2016
Janna,W,E,Q,WEQ,W,Controller,Enchanter,2009,2009
JarvanIV,Q,E,W,QEW,E,Fighter,Diver,2011,2011
Jax,W,Q,E,WQE,E,Slayer,Skirmisher,2009,2009
Jayce,Q,W,E,QWE,Q,Mage,Artillery,2012,2012
Jhin,Q,W,E,QWE,Q,Marksman,Marksman,2016,2016
Jinx,Q,W,E,QWE,Q,Marksman,Marksman,2013,2013
Kaisa,Q,E,W,QEW,Q,Marksman,Marksman,2018,2018
Kalista,E,Q,W,EQW,E,Marksman,Marksman,2014,2014
Karma,Q,E,W,QEW,Q,Mage,Burst,2011,2013
Karthus,Q,E,W,QEW,Q,Mage,Battlemage,2009,2009
Kassadin,Q,E,W,QEW,Q,Slayer,Assassin,2009,2009
Katarina,Q,E,W,QEW,Q,Slayer,Assassin,2009,2009
Kayle,E,Q,W,EQW,E,Specialist,Specialist,2009,2019
Kayn,Q,W,E,QWE,Q,Slayer,Skirmisher,2017,2017
Kennen,Q,W,E,QWE,Q,Specialist,Specialist,2010,2010
Khazix,Q,W,E,QWE,Q,Slayer,Assassin,2012,2012
Kindred,Q,W,E,QWE,W,Marksman,Marksman,2015,2015
Kled,Q,W,E,QWE,Q,Fighter,Diver,2016,2016
KogMaw,W,Q,E,WQE,W,Marksman,Marksman,2010,2010
Leblanc,W,Q,E,WQE,W,Mage,Burst,2010,2010
LeeSin,Q,W,E,QWE,W,Fighter,Diver,2011,2011
Leona,W,E,Q,WEQ,Q,Tank,Vanguard,2011,2011
Lissandra,Q,W,E,QWE,Q,Mage,Burst,2013,2013
Lucian,Q,E,W,QEW,Q,Marksman,Marksman,2013,2013
Lulu,E,W,Q,EWQ,E,Controller,Enchanter,2012,2012
Lux,E,Q,W,EQW,Q,Mage,Burst,2010,2010
Malphite,Q,E,W,QEW,Q,Tank,Vanguard,2009,2009
Malzahar,E,Q,W,EQW,E,Mage,Battlemage,2010,2010
Maokai,Q,W,E,QWE,Q,Tank,Vanguard,2011,2011
MasterYi,Q,E,W,QEW,Q,Slayer,Skirmisher,2009,2009
MissFortune,Q,W,E,QWE,Q,Marksman,Marksman,2010,2010
Mordekaiser,Q,E,W,QEW,Q,Fighter,Juggernaut,2010,2019
Morgana,Q,W,E,QWE,Q,Controller,Catcher,2009,2009
Nami,W,E,Q,WEQ,W,Controller,Enchanter,2012,2012
Nasus,Q,E,W,QEW,Q,Fighter,Juggernaut,2009,2009
Nautilus,Q,W,E,QWE,Q,Tank,Vanguard,2012,2012
Neeko,Q,E,W,QEW,Q,Mage,Burst,2018,2018
Nidalee,Q,E,W,QEW,Q,Specialist,Specialist,2009,2009
Nocturne,Q,E,W,QEW,Q,Slayer,Assassin,2011,2011
Nunu,Q,E,W,QEW,Q,Tank,Vanguard,2009,2018
Olaf,Q,E,W,QEW,Q,Fighter,Diver,2010,2010
Orianna,Q,W,E,QWE,Q,Mage,Burst,2011,2011
Ornn,W,Q,E,WQE,W,Tank,Vanguard,2017,2017
Pantheon,Q,E,W,QEW,Q,Fighter,Diver,2010,2010
Poppy,Q,E,W,QEW,Q,Tank,Warden,2010,2015
Pyke,Q,E,W,QEW,Q,Slayer,Assassin,2018,2018
Qiyana,Q,E,W,QEW,Q,Slayer,Assassin,2019,2019
Quinn,Q,W,E,QWE,E,Specialist,Specialist,2013,2013
Rakan,W,E,Q,WEQ,W,Controller,Catcher,2017,2017
Rammus,Q,E,W,QEW,W,Tank,Vanguard,2009,2009
RekSai,Q,E,W,QEW,Q,Fighter,Diver,2014,2014
Renekton,Q,E,W,QEW,Q,Fighter,Diver,2011,2011
Rengar,Q,E,W,QEW,Q,Slayer,Assassin,2012,2012
Riven,Q,E,W,QEW,Q,Slayer,Skirmisher,2011,2011
Rumble,Q,E,W,QEW,Q,Mage,Battlemage,2011,2011
Ryze,Q,E,W,QEW,E,Mage,Battlemage,2009,2009
Sejuani,W,Q,E,WQE,E,Tank,Vanguard,2012,2012
Shaco,E,Q,W,EQW,W,Slayer,Assassin,2009,2009
Shen,Q,E,W,QEW,Q,Tank,Warden,2010,2010
Shyvana,E,W,Q,EWQ,E,Fighter,Juggernaut,2011,2011
Singed,Q,E,W,QEW,Q,Specialist,Specialist,2009,2009
Sion,Q,W,E,QWE,Q,Tank,Vanguard,2009,2014
Sivir,Q,W,E,QWE,Q,Marksman,Marksman,2009,2009
Skarner,Q,W,E,QWE,Q,Fighter,Diver,2011,2011
Sona,Q,W,E,QWE,Q,Controller,Enchanter,2010,2010
Soraka,W,Q,E,WQE,Q,Controller,Enchanter,2009,2009
Swain,Q,E,W,QEW,E,Mage,Battlemage,2010,2018
Sylas,Q,W,E,QWE,Q,Mage,Burst,2019,2019
Syndra,Q,E,W,QEW,Q,Mage,Burst,2012,2012
TahmKench,Q,W,E,QWE,Q,Tank,Warden,2015,2015
Taliyah,Q,E,W,QEW,Q,Mage,Battlemage,2016,2016
Talon,W,Q,E,WQE,W,Slayer,Assassin,2011,2011
Taric,E,Q,W,EQW,E,Controller,Enchanter,2009,2016
Teemo,E,Q,W,EQW,E,Specialist,Specialist,2009,2009
Thresh,Q,E,W,QEW,Q,Controller,Catcher,2013,2013
Tristana,E,Q,W,EQW,E,Marksman,Marksman,2009,2009
Trundle,Q,W,E,QWE,Q,Fighter,Juggernaut,2010,2013
Tryndamere,Q,E,W,QEW,E,Slayer,Skirmisher,2009,2009
TwistedFate,Q,W,E,QWE,W,Mage,Burst,2009,2009
Twitch,E,Q,W,EQW,E,Marksman,Marksman,2009,2009
Udyr,Q,E,W,QEW,Q,Fighter,Juggernaut,2009,2009
Urgot,W,E,Q,WEQ,W,Fighter,Juggernaut,2010,2017
Varus,Q,W,E,QWE,Q,Marksman,Marksman,2012,2012
Vayne,W,Q,E,WQE,Q,Marksman,Marksman,2011,2011
Veigar,Q,W,E,QWE,Q,Mage,Burst,2009,2009
Velkoz,Q,W,E,QWE,Q,Mage,Artillery,2014,2014
Vi,Q,E,W,QEW,W,Fighter,Diver,2012,2012
Viktor,E,Q,W,EQW,Q,Mage,Battlemage,2011,2011
Vladimir,Q,E,W,QEW,Q,Mage,Battlemage,2010,2010
Volibear,W,Q,E,WQE,W,Fighter,Juggernaut,2011,2011
Warwick,W,Q,E,WQE,Q,Fighter,Diver,2009,2017
Wukong,E,Q,W,EQW,E,Fighter,Diver,2011,2011
Xayah,E,W,Q,EWQ,Q,Marksman,Marksman,2017,2017
Xerath,Q,W,E,QWE,Q,Mage,Artillery,2011,2011
XinZhao,W,E,Q,WEQ,E,Fighter,Diver,2010,2010
Yasuo,Q,E,W,QEW,Q,Slayer,Skirmisher,2013,2013
Yorick,Q,E,W,QEW,Q,Fighter,Juggernaut,2011,2016
Yuumi,Q,E,W,QEW,Q,Controller,Enchanter,2019,2019
Zac,E,W,Q,EWQ,W,Tank,Vanguard,2013,2013
Zed,Q,E,W,QEW,Q,Slayer,Assassin,2012,2012
Ziggs,Q,E,W,QEW,Q,Mage,Artillery,2012,2012
Zilean,Q,E,W,QEW,Q,Specialist,Specialist,2009,2009
Zoe,Q,E,W,QEW,Q,Mage,Burst,2017,2017
Zyra,Q,E,W,QEW,Q,Controller,Catcher,2012,2012
